P_MASS,P_RADIUS,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,S_DISTANCE,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_SURF,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
6165.8633,12.1068,1.29,0.231,0.5902810000000003,-0.183443,0.1341739999999999,93.1846,2.7,-0.3,0.3,19.0,-2.0,2.0,5.237380000000002,-3.0560999999999985,3.368639999999999,4742.0,22.567438206156396,509.28926,42.066381,3.4746077799778052,1.3244178,108.07578,69.391212,177.8148,813.07498,919.1464111999998,19.0,174.98467,10.48115,25.61471,13.275978,24.285013,14.053926,24.285013,12.8166,24.285013,35.716079,0.47646024,0.64240028,0.0,0.0,0.0,0.083003875
4684.7848,12.2189,1.53,0.08,0.6351000000000002,-0.1794369999999999,0.153494,125.321,2.78,-0.69,0.69,29.79,-2.84,2.84,1.56,-0.54,0.54,4213.0,19.580724985010843,383.40479,31.378012,2.567989918008335,1.534896,115.34834,98.575645,135.84432,833.92148,942.3795262000002,29.79,269.15348,13.237171,33.154212,16.766949,31.432986,17.760887,31.432986,16.186398,31.432986,44.295925,0.19389083,0.54170212,0.0,0.0,0.0,0.081792476
1525.5744,12.8915,0.83,0.0,0.427524,-0.20573999999999992,0.19695300000000007,75.4392,2.2,-0.2,0.1,11.0,-1.0,1.0,4.5,-1.9,1.9,4813.0,10.878398644676045,118.33956,9.1796577,0.7120705648715078,0.83,84.109261,84.109261,84.109261,771.53541,869.1507240000002,11.0,57.94287,6.0131898,14.650751,7.616616,13.890215,8.0622607,13.890215,7.3530563,13.890215,20.552458,0.50275224,0.59781639,0.0,0.0,0.0,0.081758179
2586.7417,12.5552,2.773069,0.372689,0.7375700000000001,-0.14440499999999992,0.10692900000000004,17.9323,0.91,-0.11,0.11,0.93,-0.01,0.01,3.9,-3.127699999999997,3.1790100000000012,5338.0,14.353728076190869,206.02951,16.409895,1.3070197750662607,2.9656546,0.098526061,0.048521514,0.23233404,138.83404,156.2896024,0.93,0.70307232,0.64545977,1.5411582,0.81756416,1.4611575,0.86489568,1.4611575,0.78924612,1.4611575,2.2639341,0.92314979,0.4349267,0.0,0.0,0.0,0.16331035
565.73385,13.452,1.66,0.68,0.3961300000000001,-0.21095499999999995,0.12974000000000002,21.1397,1.08,-0.04,0.04,1.13,-0.01,0.01,7.4,-0.1,0.1,5750.0,6.485039910478544,42.055742,3.1263561,0.23240827598081112,2.043792,0.61880554,0.16075529,4.4308176,202.21422,228.76710939999987,1.13,1.250259,0.84054425,1.9817835,1.0646543,1.8789109,1.1258398,1.8789109,1.0277231,1.8789109,3.0190046,1.9836585,0.51235547,1.0,1.0,0.0,0.36840538
1373.017,12.8915,1.45,0.06,0.37421000000000015,-0.18815599999999988,0.1627490000000001,124.953,1.22,-0.14,0.13,25.92,-0.74,0.78,5.13,-1.33,2.12,4157.0,10.32015525406766,106.5056,8.2616919,0.6408635270545855,1.45261,85.515952,75.971774,96.606932,774.21767,875.3563227000004,25.92,179.47336,10.825317,27.187798,13.711956,25.776305,14.525794,25.776305,13.237108,25.776305,36.171271,0.1338278,0.50199302,0.0,0.0,0.0,0.081555
3273.6284,12.4431,2.6,0.08,0.44734999999999997,-0.20920899999999995,0.14944000000000018,76.222,2.3,-0.13090000000000013,0.1305000000000001,8.5,-0.16319999999999993,0.18410000000000007,1.1,-0.1,0.1,4979.0,16.219982980372265,263.08785,21.143272,1.6991965028691698,2.60832,5.9353661,5.0723101,6.9900076,397.1771,448.56283259999987,8.5,39.994475,4.9584099,11.998295,6.2805604,11.375459,6.6467585,11.375459,6.0631954,11.375459,17.07512,0.67864811,0.47976979,0.0,0.0,0.0,0.21546481
2542.624,18.65344,330.0,0.49146633999999983,0.7646999999999998,-0.14313399999999996,0.10118700000000004,139.135,0.85,-0.1,0.2,1.31,-0.1,0.18,0.005,-1.4103000000000003,3.159100000000002,4060.0,11.67512673885609,136.30859,7.3074234,0.39174669243932897,330.0,3.92e-06,3.92e-06,3.92e-06,11.334123,149.86780440000013,1.31,0.42657952,0.52902548,1.3350212,0.67009316,1.26571,0.70994898,1.26571,0.64688031,1.26571,1.7634525,0.10042903,0.14012839,0.0,0.0,0.0,0.049522925
289.22348,13.9004,0.19,0.042,0.36526999999999993,-0.17878799999999997,0.14027200000000004,95.9863,0.99,-0.13,0.19,10.64,-0.59,0.84,6.92,-2.75,4.83,4893.0,4.561452164186609,20.806846,1.4968523,0.10768411770376471,0.19016758,1647.6926,1516.203,1793.7494,1622.6325,2369.634701000001,10.64,59.429216,6.0683301,14.735579,7.6864501,13.970645,8.1354228,13.970645,7.4204566,13.970645,20.814394,0.4420258,0.49217655,0.0,0.0,0.0,0.065349713
632.47773,13.3399,1.333,0.09,0.4121,-0.17465399999999998,0.1307800000000001,72.0691,1.54,-0.08,0.08,4.9,-0.08,0.08,2.7,-0.4,0.4,5098.0,6.885672015427488,47.412479,3.5541854,0.26643269413159726,1.3383987,8.2433883,6.9101378,9.9141827,431.03198,486.66330169999986,4.9,14.588143,2.9773488,7.1710661,3.7712445,6.798816,3.9906006,6.798816,3.6406981,6.798816,10.312495,0.72838944,0.48748251,0.0,0.0,0.0,0.17702225
